,url,title,salary,company_name,company_verified,adress,employment_mode,experience,parttime,accept_temporary,description,creation-time,tag
0,https://nn.hh.ru/vacancy/50977645,Blockchain разработчик/Frontend-разработчик/Full stack разработчик (удаленно),от 350 000 до 550 000 руб. на руки,ArtVolkov.ru,False,"Нагатинская, Москва , Нагатинская улица, 1","Полная занятость, полный день",1–3 года,False,"Возможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИП","xDAO — конструктор для создания и управления децентрализованными автономными организациями (DAO). Платформа позволяет запустить собственную DAO всего за несколько кликов. Созданные на xDAO организации могут взаимодействовать со всеми DeFi-протоколами. Также возможно подключать к организациям свои продукты, честно и прозрачно распределяя прибыль между командой.Наша задача делать самые удобные и понятные продукты для пользователей. Поэтому любой в команде может предложить свою идею и посоветовать, как можно сделать лучше, ну и, конечно, помочь.Наша команда расширяется, и нам требуются front-end разработчик (уровень от middle).Участие в проектирование архитектуры системы, участие в совершенствовании архитектуры решения в перспективнейшем финтехе.Наши преимущества:  Интересный проект и нестандартные технические задачи Гибкий график для оптимального баланса работы и личной жизни Возможность влиять на развитие команды и продукта Возможность повышения квалификации участвуя в международных конференциях Разработка нового перспективного проекта. Работа в сильной дружной слаженной команде.  Требования:  Опыт работы в blockchain. Опыт работы с современными фронтэнд-фреймворками web3.js Внимательность к деталям, ответственность Уверенное знание JavaScript/TypeScript от 2-х лет Уверенное знание React от 2-х лет Или node.js / php / go от 2-х лет  Условия:  Реальные перспективы финансового и карьерного роста на руки от 350к, итоговая заработная плата зависит от ваших компетенций  и определяется по результатам собеседования. Все зависит от того, как вы себя проявите.  Официальное трудоустройство ",Вакансия опубликована 24 января 2022 в Москве,['JavaScript']
1,https://nn.hh.ru/vacancy/50939243,Middle Go / Golang разработчик,от 190 000 руб. на руки,ООО ФАЙВДЖЕН,False,"Москва, Усачёва улица, 33с2","Полная занятость, полный день",1–3 года,False,False,"Привет! Мы занимаемся разработкой сложных и интересных решений в сфере специализированного медиа стриминга и искусственного интеллекта (раздел Computer Vision). Наш отдел разработки состоит из талантливых программистов и инженеров, создающих уникальные продукты. Все решения проходят стадии проектирования, разработки, тестирования и эксплуатационного сопровождения из офиса в Москве, что позволяет сотрудникам находиться в тесном взаимодействии. Мы ищем специалиста, готового с головой погрузиться в разработку проектов и стать частью нашей команды. Если ты горишь идеей создавать что-то новое, видеть production-результат своей работы, которым пользуются люди, то тебе к нам - у нас есть все необходимые условия для роста и развития. Что предстоит делать:  разрабатывать backend приложения и сервисы под высокую нагрузку интегрироваться с внешними и внутренними web-сервисами и приложениями активно участвовать во всём процессе разработки от проектирования до запуска и развития продуктов  Что для этого нужно:  знания Golang навыки работы с базами данных, например PostgreSQL знание REST-архитектуры, структуры HTTP-запросов знание Docker, Git базовые знания алгоритмов и структур данных умение работать в команде  Приветствуется:  опыт работы с ОС семейства Linux, знание Bash/Unix shell опыт работы с брокерами очередей (напр. RabbitMQ)  Условия:  Трудоустройство по ТК РФ, полностью белая з/п, размер которой зависит от ваших навыков Полная рабочая неделя (пн-пт) с удобным для вас временем начала и окончания рабочего дня Мы предоставляем достаточно свободы принятия решений и масштаба проектов для профессионального и личностного роста Мы оплачиваем курсы повышения квалификации своих сотрудников Регулярные неформальные one-to-one с руководством, тимбилдинги Уютная атмосфера, способствующая продуктивной работе (много кофе, фруктов, конфет и позитива) Офис в 5 метрах от метро Спортивная и 5 минутах от МЦК Лужники     ",Вакансия опубликована 23 января 2022 в Москве,['Git']
2,https://nn.hh.ru/vacancy/50835097,Middle/Senior Golang developer,от 200 000 до 300 000 руб. на руки,Pushwoosh,False,"Москва, Пресненская набережная, 6с2","Полная занятость, полный день",3–6 лет,False,False,"Мы - Pushwoosh – глобальный хайлоад продукт для разработчиков и владельцев мобильных приложений и сайтов. Мы предоставляем решения для отправки пуш-уведомлений как стартапам, так и компаниям с многомиллионными аудиториями, и обрабатываем более двух миллиардов API-запросов ежедневно. Чтобы обеспечить безотказную работу наших решений, мы используем самые разнообразные технологии и стремимся осваивать новые! В нашем арсенале Golang+PHP, Kafka, Kubernetes, MongoDB, Cassandra и многое другое. Все это стало возможно лишь благодаря уникальной команде. Back-end мы пишем на двух языках - Golang (90%) и PHP (10%). Сейчас мы расширяем команду разработки, поэтому у нас открыты вакансии Middle и Senior Back-end developer. Тебе предстоит окунуться в самый настоящий Highload и BigData, а именно:  Создавать распределенные высоконагруженные системы, рассчитанные под десятки тысяч RPS; Работать над системами сбора и аналитики данных, способных обрабатывать терабайты информации; Писать целые новые сервисы, которые станут продуктом в продукте.  Мы ждем:  Отличное владение Golang, умение писать чистый поддерживаемый код; Непреодолимое желание покрывать код unit/интеграционными тестами; Уверенную работу с SQL БД (PostgreSQL/MySQL); Опыт использования систем очередей и in-memory хранилищ; Навыки работы с git, Linux/Unix;  Опыт работы с MongoDB, Kubernetes, Kafka станет твоим конкурентным преимуществом! Мы предлагаем:  работу в стабильной продуктовой компании; работа в офисе или полная удаленка; участие в успешном проекте мирового уровня с клиентами из Fortune 1000; команду профессионалов, молодой и дружный коллектив; официальное трудоустройство по ТК РФ; компенсация спорта и обучения английскому языку; ДМС после прохождения испытательного срока; возможность посещать профильные конференции за счет компании; никакой бюрократии с часами, главное - delivery! ",Вакансия опубликована 22 января 2022 в Москве,['PostgreSQL']
3,https://nn.hh.ru/vacancy/50009011,Backend / Developer Middle Golang,от 170 000 руб. до вычета налогов,ООО ВФМ технолоджи,False,"Москва, Тверская улица, 16с3","Полная занятость, полный день",1–3 года,False,False,"Приглашаем бекенд-разработчикa Golang , который примет активное участие в разработке продукта вместе с командой. О нас: «ВФМ Технолоджи» (https://jamjob.ru) - IT-компания разрабатывающая решения по управлению ресурсами бизнеса и самозанятыми. Наши проекты улучшают жизнь людей. Области применения: WFM (WorkForceManagement), ERP (EnterpriseResourcePlanning). В нас верят компании из топ-30 РФ. Что надо будет делать:  Участвовать в разработке высоконагруженной WFM системы (workforce management) с применением Golang,   Разрабатывать интеграционные, инфраструктурные и прикладные сервисы;  Мы ожидаем, что Вы можете владеть следующими навыками: — Знаете и применяете на практике алгоритмы и структуры данных; — Знание Golang и опыт разработки не менее 1 года; — API (работа с внешними API и написание собственного REST API); — Git; — Базы данных; — Написание unit-тестов; — Знание базовых алгоритмов и основных принципов ООП. — Имеете oпыт коммерческой разработки; — Знакомы с Linux и умеете работать с командной строкой. Предпочитаем совместно разрабатывать с теми, кто: — Грамотно задает вопросы; — Разбирается с технической документацией и способен декомпозировать сложную задачу; — Эффективно планирует своё время; — Вовремя обращается за помощью, но прежде погуглил; — Проактивен, отзывчив и коммуникабелен. Прохождение любого курса разработчика Яндекс.Практикум будет существенным преимуществом. Почему у нас круто работать? — Конкурентная заработная плата и возможности для профессионального роста — Масштабный долгосрочный проект, влияющие на тысячи пользователей — Фокус на результате, гибкие методологии Что мы предлагаем:  ЗП от 170 тыс.руб (по результатам собеседования) Официальное трудоустройство Компенсация расходов на обеды Рабочий день 8 часов с Пн-Пт, гибкое время начала трудового дня   Крутые задачи, опыт и быстрое развитие - скучно не будет   Работа в сплочённом IT-коллективе   Работа из современного офиса в Москве (1 мин от метро Чеховская, Пушкинская, Тверская). ",Вакансия опубликована 22 января 2022 в Москве,['Git']
4,https://nn.hh.ru/vacancy/51160195,Python Developer,от 200 000 до 350 000 руб. на руки,ООО АСД Технолоджиз,False,Санкт-Петербург,"Полная занятость, полный день",1–3 года,False,False,"АСД Технолоджиз, разработчик платформы cloudike.com (white-label облачное хранилище персональных данных для телекома) ищет Python Developer.О вакансии простыми словами. Наша платформа Cloudike активно расширяется и мы ищем ведущего Python разработчика - любой регион По вакансии: открыто несколько позиций, уровень (и вилка ЗП) от Middle до Senior. Требования: python3.x fastapi celery rabbitmq orm (sqlalchemy,alembic/djangoorm) asyncio unittests (postgresql/mongodb) redis Технический английский Желательно: - golang - openstack Вакансия открыта в офисах: Москва, Нижний Новгород, Санкт-Петербург.Возможна 100% удаленная работа (все города западнее Урала).  ",Вакансия опубликована 23 января 2022 в Санкт-Петербурге,[]
5,https://nn.hh.ru/vacancy/50825858,Golang разработчик,от 130 000 до 220 000 руб. на руки,Kvando Technologies,False,Москва,"Полная занятость, удаленная работа",1–3 года,False,"Возможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИП","KVANDO Technologies ЗП: 130 000 - 220 000 р. Kvando Technologies, Inc. IT компания, специализируется на разработке, тестировании и поддержке продукта. Приглашаем backend разработчиков. Гарантируем интересные и сложные проекты, профессиональный и финансовый рост. Каждый день обучение и поддержка. Ждём в команду амбициозных людей.Эта вакансия для человека с опытом middle'а, который хочет двигаться в сторону senior'а или fullstack'а. Диапазон зп вилки обусловлен тем, что на текущие проекты требуется пара разработчиков - и мы готовы рассматривать кандидатов разного уровня. Какие знания необходимы:-опыт коммерческой разработки Golang от 2 лет;-опыт работы с базами PostgreSQL, Redis;-Git, Github-умение писать тесты;-понимание Docker, Kubernetes;-знание Grpc-разговорный английский желательно, но необязательно Чем мы можем быть Вам полезны:-зарплата 130 000 - 220 000 в мес;-удаленная работа, полный рабочий день;-программа развития для начинающих разработчиков. Программа открыта тлько для работы В ОФИСЕ в Брянске. Подробнее по отклику на вакансию. Что по проектам?-Kvando классическая аутстафф компания. Подберем проект и будем всегда на Вашей стороне.Если это то, что Вам подходит, скиньте, пожалуйста, резюме",Вакансия опубликована 23 января 2022 в Москве,['PostgreSQL']
6,https://nn.hh.ru/vacancy/50789953,Lead/Senior/Middle Rust Developer,от 4 000 до 12 000 USD на руки,Algalon Capital,False,Москва,"Полная занятость, полный день",1–3 года,False,False,"Algalon Capital is looking to hire a Lead/Senior/Middle Rust Developer (https://spin.fi). About Spin: Spin is a multichain DEX that makes decentralized crypto futures and options trading more efficient by providing traders with advanced risk management and strategy-building tools, as well as a superior Central Limit Order Book execution model. The first blockchain to be supported is NEAR Protocol. The team behind the project has experience in algorithmic trading and building products, including blockchain tech-based. We are a passionate group of hardworking and fun individuals spread out all over the world, working to build the initial core products of Spin Finance while striving for decentralization. The project is supported by Tier 1 crypto VC and market makers. Responsibilities:  Work together in a senior team Pitch your ideas regarding (technical) design Sync with NEAR developers building other things in the space  Requirements:  3+ years of experience as a software engineer Strong proficiency in Rust, C++, or Golang (or other systems language) Extensive knowledge of virtual machines or blockchain node software Ability to design, research, and develop blockchain-based solutions Excellent communication skills  Nice to Have:  Experience with blockchain protocols, whether it be the usage of a blockchain API, knowledge of how a blockchain operates, or any other experience Experience with distributed systems, peer-to-peer systems, network programming, and cryptography Experience writing software from a technical specification or a reference implementation Experience maintaining a large codebase with many components and keeping it well-designed, future-proofed, and modular Experience with documenting a large codebase, both for internal and user-facing components Familiarity with open-source software principles  Location: This is a full-time position that is 100% remote or in the office in Moscow City.     Please apply with a link to your GitHub repo.  ",Вакансия опубликована 22 января 2022 в Москве,['Blockchain']
7,https://nn.hh.ru/vacancy/51107108,Middle Golang developer / Программист Golang,от 200 000 руб. на руки,Lenvendo,False,"Старая Деревня, Санкт-Петербург, улица Савушкина, 83к3","Полная занятость, полный день",3–6 лет,False,False,"




Разрабатываем и поддерживаем highload-проекты крупнейших российских компаний с многомиллионной посещаемостью


Lenvendo на протяжении 15 лет занимается созданием, развитием и поддержкой крупнейших в России e-commerce - проектов. В числе наших клиентов: Эльдорадо, Мвидео, МТС, Магнит, СберМегаМаркет и другие лидеры рынка. В связи с расширением мы ищем себе в команду Golang-программиста для участия в разработке крупнейшего e-commerce проекта.   Требования: • Опыт коммерческой командной разработки на Golang от 3х лет; • Уверенные знания Golang, включая:   опыт синхронизации горутин с использованием примитивов;   понимание принципов работы с памятью (аллокация, освобождение, garbage collector);   уверенное владение GORM/PGX;   опыт работы с фреймворками (gin / go-kit);   опыт написания unit-тестов;   опыт профилирования и отладки (cpuprofile, pprof, memprofile);   навыки работы с кодогенерацией;   опыт использования protobuf и его кастомизации.   • Отличные знания алгоритмов, алгоритмической сложности и структур данных; • Понимание принципов Domain Driving Design; • Опыт проектирования микросервисных архитектур (понимание основ построения микросервисов, протоколов взаимодействия и тд); • Базы данных PostgreSQL / MySQL: понимание транзакций, блокировок, замеры скорости операций БД, индексирование; • Брокеры очередей: RabbitMQ, Kafka или Nats; • Система контроля версий (git), системы ведения задач (JIRA, Redmine) и системы документирования (Confluence, Markdown). Будет плюсом: • Понимание процессов CI/CD с использованием Kubernetes/Helm, Ansible; • Опыт работы с NoSQL (Redis, MongoDB, ElasticSearch, Memcached); • Углубленные знания баз данных: шардирование, репликация, партиционирование, журналирование.   Обязанности:   Разработка новых и поддержка существующих микросервисов;   Работа над “распилом” монолита в команде в сфере Highload e-commerce со сложной бизнес-логикой для компаний федерального уровня с использованием современного стека технологий и подходов.     Условия:   Работа в одной из ведущих компаний-разработчиков ИТ-решений в сегменте e-commerce;   Официальное оформление с первого дня работы и все соц.гарантии по ТК РФ;   Полностью «белый» доход и прозрачная система мотивации;   График работы: 5/2 (9:00-18:00 или 10:00-19:00 на выбор);   Уровень дохода обсуждается на собеседовании по итогам технического интервью;   Масштабные highload-проекты, сложные и интересные задачи;   Возможность работать в технологической компании, создающей сервисы и системы, полезные людям;   Экспертная и талантливая команда профессионалов;   Культура открытости и взаимопомощи - мы небезразличны к тому, над чем работаем;   Перспективы для профессионального роста: возможность участвовать в различных конференциях, семинарах и образовательных программах;   ДМС после прохождения испытательного срока: офисный врач, экстренная госпитализация, вызов врача на дом и т.д.;   Современный и комфортный офис, оборудованный всем необходимым;   Вкусный кофе, чай, снэки и свежие фрукты в неограниченном количестве;   Бесплатные обеды;   Офис в пешей доступности от метро «Старая Деревня»;     * Для кандидатов из других регионов возможен удалённый формат работы.


Гарантии



Работа над highload- проектами известных компаний



Полностью официальный доход



Профессиональный рост и развитие



Крутая команда специалистов высочайшего уровня 



Бесплатное питание, различные виды чая, кофе, свежие фрукты и перекусы



ДМС, бесплатные консультации врача прямо в офисе




",Вакансия опубликована 23 января 2022 в Санкт-Петербурге,['Golang']
8,https://nn.hh.ru/vacancy/50737128,Golang developer (middle),от 180 000 руб. на руки,ООО ПРОФИТКЛИКС,False,"Краснодар, улица Красных Партизан, 367","Полная занятость, полный день",1–3 года,False,False,"Привет! Мы - ProfitClicks, продуктовая компания, которая 5+ лет развивается в сфере интернет-рекламы. За это время нам удалось реализовать множество успешных adtech проектов: нативную рекламную сеть, сеть по монетизации push-уведомлений, трекер для аналитики трафика, RTB аукцион и другие решения. Все эти продукты - highload-системы со средней нагрузкой 15000 хитов в секунду, мы обрабатываем миллионы кликов. Сейчас мы в поиске Golang разработчика на наш проект Новостная витрина. Команда проекта: продакт, тимлид, 3 бэкенд разработчика, верстальщик и тестировщик. Немного о проекте. Это веб сервис с большим количеством новостей на разные темы, внутри каждой новости есть контент и наша тизерная реклама. Ответвлением проекта является сервис Newsprofit, позволяющий любому пользователю интернета зарабатывать на новостном трафике. Состоит он из:  Сайта Сервисов выдачи Личного кабинета пользователя Админки и других сервисов.  Выдача работает на протоколе openRTB. В проекте используются различные интеграции с другими Сервисами (DMP, RTB и др). Стек:  Go 1.17 MySQL 5.7 Redis Clickhouse Tarantool Docker NATS  Витрина имеет сервисную архитектуру. Чем предстоит заниматься:   Разработка новых сервисов под запросы компании и поддержка существующих   Реализация интеграции с внутренними и внешними сервисами   Проектирование внутренней архитектуры сервисов   Пожелания к опыту:   Опыт коммерческой разработки на любом backend языке от 3 лет   Опыт коммерческой разработки на go от 1 года   Опыт работы с реляционными БД: MySQL/ PostgreSQL   Опыт работы с брокерами сообщений Kafka/ RabbitMQ/ NATS (у нас NATS)   Опыт разработки highload систем   Опыт профилирования приложений   Будет плюсом:   Опыт работы с Clickhouse, Redis, Tarantool   Опыт работы с NATS   Опыт работы с Docker   С радостью предложим вам:   Полный highload   Формат работы: полная удаленка, либо офис в г.Краснодар   Плавающее начало рабочего дня (до 10:30 мск), график 5/2   Белое оформление с первого дня   Релокационный пакет для желающих переехать поближе к морю :) Компенсируем перелет и аренду квартиры в Краснодаре на первый месяц работы   ДМС со стоматологией или фитнес на выбор через полгода работы у нас   Корпоративная библиотека, возможность онлайн обучения и участия в профильных конференциях за счет компании     Если вас заинтересовала наша вакансия, оставляйте свой отклик, познакомимся)",Вакансия опубликована 21 января 2022 в Москве,['Golang']
9,https://nn.hh.ru/vacancy/42992992,Golang Middle developer,от 2 500 до 3 000 USD на руки,B2Broker Киев,False,Киев,"Полная занятость, удаленная работа",1–3 года,False,False,"







Мы — команда молодых и амбициозных разработчиков — в поисках талантливых и целеустремлённых коллег. Если вы тот, кому интересны сложные задачи, которые требуют элегантных решений, тот кто готов учиться и совершенствоваться — мы ждём вас! Над чем предстоит работать:  Система агрегации и преобразования данных; Автоматизированные торговые решения; Сервисные API.  Что мы ожидаем:  Опыт разработки на GoLang с использованием std модулей от 2х лет; Разработка с использованием концепций конкурретного выполнения и механизмов синхронизации; Знание ООП и паттернов программирования и практика их применения; Опыт написания unit тестов и мокирования отдельных частей приложения; Опыт работы с сетевыми/файловыми потоками данных; Опыт разработки с использованием SQL и NoSQL баз данных, key-value хранилищ; Знание структур хранения данных и алгоритмов работы с ними; Обладание аналитическими навыками и профессиональным кругозором.  Технологии:  GoLang + gomod; PostgreSQL, MongoDB и др. БД; WebSocket, HTTP/2, gRPC; JSON, XML, ProtoBuf; Docker.  Мы предлагаем:  ЗП без задержек; официальное трудоустройство Частичная компенсация занятий английского языка с частным преподавателем; Неограниченный профессиональный рост и возможность работать в развивающейся международной компании; Ресурсы на реализацию идей; Работу по гибкому графику удаленно. 






",Вакансия опубликована 21 января 2022 в Киеве,['SQL']
