,url,title,salary,company_name,company_verified,adress,employment_mode,experience,parttime,accept_temporary,description,creation-time,tag
0,https://nn.hh.ru/vacancy/50754284?from=vacancy_search_list&query=lua&hhtmFrom=vacancy_search_list,Программист C/С++,"{'from': 150000, 'to': False, 'gross': False, 'currancy': 'руб.'}",ООО Скайтех,False,"Площадь Александра Невского 1, Санкт-Петербург, улица Профессора Качалова, 7","Полная занятость, полный день",1–3 года,False,False,"Скай Технолоджис - динамично развивающаяся российская компания - поставщик программного обеспечения для POS терминалов и технологический интегратор в сфере платежных технологий. Мы постоянно растем, развиваемся и сейчас в нашу дружную команду требуется разработчик C++. Если Вы активный, интересуетесь новыми технологиями, готовы решать сложные и интересные задачи, то будем рады знакомству!   Чем предстоит заниматься:  Разработка кроссплатформенного ПО для POS терминалов, Поддержка и улучшение существующего кода, Участие в разработке внутренних и заказных проектов; Работа в офисе полный рабочий день.    Здорово, если наши требования Вас не испугают:  Уверенное знание C99/C++03, STL, Понимание основных паттернов проектирования, Опыт разработки под Linux, владение сmake, gcc, bash, Опыт использования GIT, JIRA, Умение оценивать задачи и укладываться в сроки, Горящие глаза и желание сделать качественный продукт.    Дополнительные плюсы, которым мы будем очень рады:  Знание С++11/17, Опыт использования boost, Знание языков программирования LUA, Python, Знание BerTLV, EMV, PCI/PA, Опыт многопоточного программирования.    Что мы можем предложить:  Стабильная заработная плата, оформление в соответствии с ТК; Лояльность и отсутствие бюрократии; Карьерный и профессиональный рост; Испытательный срок 3 месяца. ",2022-01-22,['C/C++']
1,https://nn.hh.ru/vacancy/48730349?from=vacancy_search_list&query=lua&hhtmFrom=vacancy_search_list,Инженер по тестированию аппаратных платформ и ПО,"{'from': False, 'to': False, 'gross': True, 'currancy': None}",СКАУТ Разработчик Системы,False,"Лесная, Чёрная речка, Санкт-Петербург, Красногвардейский переулок, 23Е","Полная занятость, полный день",3–6 лет,False,False,"Приглашаем инженера по тестированию оборудования присоединиться к сильной команде разработки оборудования ""СКАУТ разработчик системы"", которая занимается созданием широкого спектра проектных решений в сфере логистики и транспортной безопасности.Основные задачи:  Комплексное тестирование работы аппаратных модулей на основе микроконтроллеров, разрабатываемых Компанией, в составе программно-аппаратного комплекса Разработка утилит и скриптов для автоматизации типовых сценариев тестирования аппаратных модулей Тестирование встраиваемого и прикладного ПО Компании и воспроизведение дефектов Составление и расширение чек-листов и тест-кейсов Ведение базы данных обнаруженных багов (дефектов) Участие в составлении требований к разрабатываемым продуктам Участие в автоматизации процессов тестирования и разработка автотестов  Наши ожидания от кандидатов:  Высшее техническое образование, опыт в области тестирования, автоматизации. Опыт/умение работать с электронным оборудованием (настройка, диагностика, подключение и др.) Знание и понимание практик и методологий QA (контроля качества), методик тестирования Знание скриптовых языков (Python, Lua, Perl) и опыт применения их на практике Опыт тестирования программно-аппаратных комплексов Умение анализировать, вычислять и воспроизводить сложновоспроизводимые ошибки Умение работать как самостоятельно, так и в команде   Навыки работы с системами контроля версий  Мы предлагаем: Работа в компании - лидере отрасли. Нашими Партнерами являются почти 350 организаций в 84 регионах России и СНГ, а среди клиентов такие компании, как PepsiCo Россия, Газпромнефть, Транснефть, аэропорт Пулково, Роснефть, КО «Славянка», Татнефтепродукт, и др.Возможность работать в интересном, творческой и молодом коллективе единомышленников.Мы организуем обучение для наших сотрудников и рады, когда коллеги продвигаются по карьерной лестнице внутри компании.Премии за долгосрочное сотрудничество и др. - это тоже приятные особенности работы в нашей команде.График работы: пятидневка (гибкое начало рабочего дня, время прихода с 8.00 до 10.00), 8-ми часовой рабочий день.Территориально мы находимся в 15 мин. пешком от ст.м. Лесная или 10 мин. пешком от ст.м. Черная речка.",2022-01-22,['Тестирование']
2,https://nn.hh.ru/vacancy/47971903?from=vacancy_search_list&query=lua&hhtmFrom=vacancy_search_list,Level Game Designer,"{'from': False, 'to': False, 'gross': True, 'currancy': None}",Wargaming St. Petersburg (Lesta Studio),False,Санкт-Петербург,"Полная занятость, полный день",1–3 года,False,False,"Мы в Lesta Studio (Wargaming St.Petersburg & Moscow), помимо флагманской игры World of Warships и консольной WOWS Legends, ведем разработку новых игровых проектов в различных жанрах и для разных платформ. Одна из команд в нашей студии занимается прототипированием нового кросс-платформенного ММО шутера в Sci-Fi сеттинге, в разработке которого используются движок Unreal Engine 4, Java и С++. У нас амбициозные планы по дальнейшему развитию проекта, с чем нам может помочь Level Designer. Чем предстоит заниматься:  Проектирование, прототипирование, создание и скриптование карты игры. Проведение анализа игровых данных (собранные метрики активности игроков на карте). Написание и актуализация технической документации. Участие в плэйтестах карты и итеративное внесение улучшений. Участие в настройке параметров игровой экономики и внутриигрового контента. Взаимодействие с художниками, дизайнерами и проектной командой по созданию уровней игры как целостного игрового пространства.  Что для нас важно:  Опыт работы с Unreal Engine 4 или Unity или аналогичный опыт работы от 1 года с другими игровыми движками для создания уровней игры. Знание скриптовых языков, например, Lua или Python. Умение проектировать, прототипировать, создавать и скриптовать карты игры. Умение работать с визуальными скриптами, например UE Blueprints, интеграция и настройка интерактивных ассетов. Наигранность: большой игровой опыт (разных жанров и платформ), плюсом будет знание проектов Wargaming’а.  Плюсом будет:  Опыт создания модов для разных игр. Опыт успешно разработанных игр для PC и консолей и работы в большой кросс-функциональной команде. Хорошее понимание эргономики человеческого пространства, функциональной урбанистики, архитектуры или геологии. Навыки полигонального моделирования и знание Excel. Участие в плэйтестах и анализ поведения игроков. Понимание инструментов, технологий, процесса разработки игр. Знание английского языка на уровне Intermediate и выше. Умение работать с системами контроля версий (Git, SVN).  Что предлагаем:  Работа в офисе в г.Санкт-Петербург. Мы поможем в релокации (проживание в корп.квартире, релокационный бонус). Расширенный полис ДМС. Спорт: компенсация 50% стоимости годового абонемента в различные фитнес-клубы; свой спортзал в офисе. Обучение: уроки английского языка в офисе; внутренние и внешние конференции, тренинги. Бесплатные завтраки и ужины. Релакс-зоны с массажными креслами и топовыми кофемашинами. Мы тестируем наши продукты в игровых с мощным железом и приставками. Но если хотите размяться в офлайне, у нас есть настольный теннис, хоккей, баскетбол и кикер. Work-life balance: начало работы - с 9 до 10, окончание - с 18 до 19.  Подробнее о том, как Wargaming использует Ваши данные, читайте в Политике конфиденциальности в отношении соискателей Wargaming",2022-01-23,['Unreal Engine']
3,https://nn.hh.ru/vacancy/51481335?from=vacancy_search_list&query=lua&hhtmFrom=vacancy_search_list,Lua Game Developer,"{'from': False, 'to': False, 'gross': True, 'currancy': None}",TheSoul Publishing (AdMe),False,Москва,"Полная занятость, удаленная работа",1–3 года,False,"Возможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИП","








TheSoul Publishing — одно из самых крупных интернет-издательств в мире. Наша команда из 2100+ человек в 70+ странах каждый день создаёт развлекательный контент: мы снимаем видео, рисуем анимацию, пишем статьи для 1 млрд+ подписчиков по всему миру. Среди наших проектов: 5-Minute Crafts, La La Life, AdMe.ru, Avocado Couple и ещё 40+ других. Мы быстро растем и активно нанимаем креативных и талантливых людей по всему миру. Сейчас мы в поиске увлеченного игрока Minecraft, который поможет нам создавать потрясающие видео для нашего Let's Play стартап-канала на YouTube Обязанности:   Написание сценариев миссий   Написание скриптов для взаимодействия с локациями (например, выпадающие элементы из ящиков)   Написание скриптов развития персонажа   Написание скриптов для структуры системы донатов   Требования:   Знание языка программирования Lua выше среднего или JavaScript   Наличие опыта работы в игровой индустрии на уровне создания инди-проектов или хотя бы на уровне full-tme работы с Roblox   Понимание принципов построения игровых сценариев, сюжета и миссий   Умение творчески мыслить, выходить за поставленных задач   Ответственный подход к рабочему процессу, умение работать в классическом графике 5/2 с постоянным общением в течение рабочего дня   Страсть к играм и игровой индустрии в целом :)   Несомненным плюсом будет:  Знание английского языка хотя бы на уровне A2 Опыт работы с Unreal Engine  Что мы предлагаем:   Зарплата: мы уважаем компетентность каждого кандидата, поэтому обсуждаем размер индивидуально и предлагаем комфортную и конкурентоспособную сумму;   Возможность работать из дома в любимых тапочках или без них;   Классную неравнодушную команду;   Развивающие и интересные проекты.   Спасибо вам за интерес к нашей компании и вакансиям. Мы внимательно изучим ваше резюме и свяжемся с вами в случае, если будем готовы предложить вам выполнить тестовое задание или пригласить на интервью. ​TheSoul Publishing— работодатель, который предоставляет всем кандидатам равные возможности, а сотрудникам - дружескую атмосферу, в которой легко адаптироваться. Мы приветствуем разнообразие - в нашей команде нет места дискриминации по национальности, религии, половой принадлежности и гендерной идентификации, а также по месту проживания, возрасту, физическим возможностям, сексуальной ориентации, семейному положению и другим характеристикам, охраняемым законом. Мы заботимся о частной жизни кандидатов: все полученные данные остаются строго конфиденциальными.
















Подбор персонала ведется в ADME (CY) LTD. ADME (CY) LTD входит в группу компаний TheSoul Publishing, которая также работает под брендом ADME

",2022-01-21,['Английский\xa0— A2 — Элементарный']
4,https://nn.hh.ru/vacancy/51181484?from=vacancy_search_list&query=lua&hhtmFrom=vacancy_search_list,Embedded Linux программист,"{'from': False, 'to': False, 'gross': True, 'currancy': None}",ООО Геоскан,False,"Площадь Мужества, Политехническая, Санкт-Петербург, улица Шателена, 3","Полная занятость, полный день",1–3 года,False,False,"Мы создаем беспилотные летательные аппараты и программное обеспечение для промышленности, образования и индустрии развлечений. Наше оборудование используют для цифрового картографирования, автоматизации контроля строительства, разведки месторождений полезных ископаемых и точного земледелия в 130 странах. Школьники и студенты изучают программирование и робототехнику с помощью наших комплексов, а геймдизайнеры наполняют свои миры трехмерными моделями, построенными в Agisoft Metashape. В связи с увеличением количества проектов, мы расширяем отдел разработки ПО для РЭА и ищем Embedded Linux программистов. Чем предстоит заниматься:  разрабатывать программное обеспечение для встраиваемых вычислительных систем на базе процессоров с ядром Cortex-A;  подготавливать документацию по сборке и использованию ПО.   Мы ожидаем, что вы:  имеете опыт по сборке и подготовке дистрибутивов (подготовка набора приложений, компиляция этих приложений под целевую платформу и подготовка пакетов для дальнейшей поставки в составе дистрибутива); хорошо знаете C/С++; имеете опыт работы с ядрами ARM Cortex-A; способны разрабатывать и отлаживать драйвера для Linux; владеете английским языком на уровне чтения технической документации; имеете опыт работы с системами контроля версий.  Будет плюсом, если вы:  знакомы с интерпретируемыми языками, например: Lua, Python, JavaScript; разрабатывали приложения на Qt; имеете опыт отладки устройств, умеете работать с современными приборами.  Что мы предлагаем:  оформление в соответствии с ТК РФ и полностью белую заработную плату; молодой коллектив, с большим количеством специалистов из разных сфер, у которых можно многому научиться; гибкий график работы; современный комфортный офис с пуфиками и капучино; еженедельный спорт (футбол, волейбол, баскетбол), корпоративные выезды на природу; полис ДМС после 1 года работы; изучение английского языка в офисе с 50% компенсацией от компании; корпоративную библиотеку с бестселлерами из разных областей знаний. ",2022-01-23,['Linux']
5,https://nn.hh.ru/vacancy/50718853?from=vacancy_search_list&query=lua&hhtmFrom=vacancy_search_list,Golang разработчик,"{'from': 280000, 'to': False, 'gross': True, 'currancy': 'руб.'}",ООО Эйчэфти Арбитраж,False,"Новокузнецкая, Москва, Садовническая набережная, 9","Полная занятость, удаленная работа",3–6 лет,False,False,"О компании: Мы разивающийся стартап на стадии запуска продукта. Команда состоит из квалифицированных аналитиков в области рисков, технических аналитиков, трейдеров с большим опытом на различных рынках и разработчиков с прямыми руками. Разрабатываемая продуктовая линейка:   Криптобиржа деривативов - это основной продукт   Арбитражный робот, интегрируемый с крупными биржами по API   Middleware API, предоставляемый клиентам для интеграции с другими биржами   Процессинг криптовалют   Кошелёк с холодным хранением   Для реализации поставленных задач мы приняли стратегическое решение использовать HighLoad-архитектуру, ориентированное в первую очередь на роботов и высокочастотную торговлю. Кого ищем: В первую очередь хотим видеть от разработчика способность браться за крупные задачи, и живые математические навыки. Обязанности: Разработка backend-приложения Работа в Scrum-команде Требования:  Опыт разработки на Golang от 3 лет и отличное знание языка и экосистемы Участие в разработке высоконагруженных приложений Умение решать проблемы высокой доступности Опыт работы с распределёнными СУБД: ClickHouse (основная), PostgreSQL Хорошее понимание Redis Опыт использование и тюнинг брокеров сообщений в разработке NATS, Kafka Написание юнит и блочных тестов  Желательно:  Опыт работы в финтех проектах приветствуется Lua для Redis Опыт работы с данными в формате Time series Уметь брать на себя ответственность Знание Docker, Kubernetes желательно Использование git-flow  Условия:  Интересные задачи, использование передовых технологий; Оклад от 280 000 на руки Гибкий график начала рабочего дня MacBook Pro ",2022-01-20,['Redis']
6,https://nn.hh.ru/vacancy/51181453?from=vacancy_search_list&query=lua&hhtmFrom=vacancy_search_list,Embedded программист С++,"{'from': False, 'to': False, 'gross': True, 'currancy': None}",ООО Геоскан,False,"Санкт-Петербург, Площадь Мужества, Политехническая","Полная занятость, полный день",3–6 лет,False,False,"Мы создаем беспилотные летательные аппараты и программное обеспечение для промышленности, образования и индустрии развлечений. Наше оборудование используют для цифрового картографирования, автоматизации контроля строительства, разведки месторождений полезных ископаемых и точного земледелия в 130 странах. Школьники и студенты изучают программирование и робототехнику с помощью наших комплексов, а геймдизайнеры наполняют свои миры трехмерными моделями, построенными в Agisoft Metashape. В связи с увеличением количества проектов, мы расширяем отдел разработки ПО для РЭА и ищем Embedded программистов (С++). Чем предстоит заниматься:  разрабатывать программное обеспечение для встраиваемых вычислительных систем на базе микроконтроллеров с ядрами ARM Cortex-M (полный цикл разработки, начиная с составления ТЗ, заканчивая сопровождением изделий в процессе испытаний и серийного производства); документировать создаваемое программное обеспечение (cоставление ТЗ на разработку, графической схемы алгоритма работы, временных диаграмм работы).  Мы ожидаем, что вы:  имеете профильное высшее образование; хорошо знаете С/С++, умеете применять объектно-ориентированный подход при разработке встраиваемого ПО; имеете опыт разработки для контроллеров с ядрами ARM Cortex-M; разрабатывали многопоточные приложения; имеете опыт разработки драйверов периферии; знакомы с интерфейсами UART, SPI, I2C, SDIO; владеете английским языком на уровне чтения технической документации. имеете опыт работы с системами контроля версий.  Будет плюсом, если вы:  разрабатывали под Linux с использованием GCC; знакомы с интерпретируемыми языками, например: Lua, Python, JavaScript; работали с интерфейсом CAN; имеете опыт отладки устройств, умеете работать с современными приборами.  Что мы предлагаем:  оформление в соответствии с ТК РФ и полностью белую заработную плату; молодой коллектив, с большим количеством специалистов из разных сфер, у которых можно многому научиться; гибкий график работы; современный комфортный офис с пуфиками и капучино; еженедельный спорт (футбол, волейбол, баскетбол), корпоративные выезды на природу; полис ДМС после 1 года работы; изучение английского языка в офисе с 50% компенсацией от компании; корпоративную библиотеку с бестселлерами из разных областей знаний. ",2022-01-23,['C/C++']
7,https://nn.hh.ru/vacancy/48545415?from=vacancy_search_list&query=lua&hhtmFrom=vacancy_search_list,Системный администратор VoIP (в Сочи),"{'from': 150000, 'to': False, 'gross': False, 'currancy': 'руб.'}",ООО Колл-Тулз,False,"Сочи, микрорайон Центральный, улица Горького, 75","Полная занятость, полный день",1–3 года,False,False,"Привет, кандидат! Мы разрабатываем крутой сервис интерактивной телефонии zvonok.com. Ищем в свою команду ещё одного системного администратора VOIP/Linux. Важно! Ищем сотрудника с уклоном в VOIP. Опыт администрирования Windows не релевантен, у нас всё построено на Linux. Проект сложный и очень интересный. Вы получите опыт живой бизнес-разработки (вся обратная связь поступает моментально), опыт работы с высоконагруженными системами, практику командной разработки с применением современных инструментов и подходов. Вакансия в Сочи, удалённая работа невозможна. Иногородних кандидатов приветствуем, помогаем с переездом: оплачиваем билет и предоставляем квартиру на первый месяц. Почему именно мы?   У нас действительно интересно работать;   Все наши сотрудники - профессионалы своего дела;   Гарантируем быстрый профессиональный рост;   Наш офис находится в самом центре Сочи (рядом транспорт, море и общепит);   Мы предлагаем официальное трудоустройство, оплачиваемые отпуск и больничный;   У нас дружный коллектив, интересная корпоративная жизнь, PlayStation и пицца по пятницам.   Обязанности:   Участие в разработке, проектировании и поддержании работы отказоустойчивых VOIP систем, работающих непрерывно и бесперебойно;   Настройка систем мониторинга и оповещения;   Требования:   Опыт администрирования ОС Linux обязателен;   SIP на уровне чтения дампов и диагностики проблем;   Опыт работы с VoIP обязателен и больше, чем “установил Freepbx и подключил N телефонов” (Kamailio/OpenSIPs, RTPEngine, Freeswitch/Asterisk);   Опыт работы с PostgreSQL;     Опыт работы с git (мы используем Gitlab);   Знание языков shell (Bash), Python, опционально Lua, Go;   Базовое понимание работы компьютерных сетей.   Будет плюсом:   Опыт работы с Docker и Ansible;   Уметь составлять и оптимизировать SQL запросы;   Опыт работы / внедрения с (несколько из):   Kubernetes;   Tarantool;   Gitlab CI/CD;   Prometheus + Grafana.     Условия:   Зарплата на старте от 150 000 руб (по результатам собеседования);   Работа в центре Сочи в комфортном офисе;   5-и дневная рабочая неделя;   Официальное трудоустройство;   Свободных график (в пределах разумного), начало рабочего дня до 12.00;   Нет бюрократии.  ",2022-01-21,['Linux']
8,https://nn.hh.ru/vacancy/51435392?from=vacancy_search_list&query=lua&hhtmFrom=vacancy_search_list,DevOps Инженер / специалист внедрения и поддержки продуктов компании,"{'from': 100000, 'to': 150000, 'gross': True, 'currancy': 'руб.'}",NetUP,False,"Киевская, Минская, Москва, улица Улофа Пальме, 1","Полная занятость, полный день",3–6 лет,False,False,"НетАП - российская компания, мы находимся в Москве, и разрабатываем софт для телеком-операторов, провайдеров IPTV / OTT. Мы успешно продаём наши продукты по всему миру - от Новой Зеландии до Канады, поэтому не зависим от состояния российской экономики и уверенно растём. Мы - вендор. Это значит, что Вам придется консультировать операторов связи в области эксплуатации наших продуктов, участвовать в их внедрении и улучшении. Как и многие современные IT-организации, НетАП - горизонтально управляемая компания, поэтому инициативным сотрудникам предоставляется довольно широкая свобода действий и возможностей для развития. Наши плюсы:  У нас уютная атмосфера: дружный коллектив, обстановка (в меру) неформальная, много интересных талантливых людей Большая степень свободы: у нас можно реализовать свои идеи, мы ценим инициативность и изобретательность, вклад каждого велик Полное соблюдение ТК: полностью белая заработная плата, больничные, отпускные Комфортные условия: бесплатные обеды, чай, кофе-машина, свободный дресс-код, возможна удаленная работа  Обязанности:  Консультирование российских и зарубежных клиентов по телефону и через систему заявок Проведение удаленных работ по настройке ПО нашего производства Взаимодействие с отделом разработки: сообщение об ошибках и отслеживание их исправления Взаимодействие с отделом продаж: консультация менеджеров и содействие в проработке решений  Требования:  Знание стандартного инструментария UNIX-образных ОС. Знание сетевых технологий. Знание основ SQL. Грамотная речь, умение слушать и уверенно, четко излагать свои мысли. Общительность Обучаемость и желание учиться. Знание английского языка на уровне, достаточном для ведения переписки.  Приветствуется:  Опыт работы с продуктами компании NetUP, в частности АСР UTM 5. Знание операционных систем Linux на уровне администратора. Знание СУБД MySQL на уровне администратора. Опыт настройки сетевого оборудования (коммутаторы 2, 3 уровня, маршрутизаторы, NAS/BRAS) и решений на их базе. Опыт написания скриптов (php, perl, bash, lua и др).  Условия:  На время стажировки/обучения превалирует работа в офисе, далее увеличивается доля удалёнки с возможным полным на нёё переходом. В данный момент в офисе в среднем присутствует не более 10-15% коллектива. График работы: 5/2, возможно гибкое начало рабочего дня. Оформление в соответствии с ТК РФ. Бесплатные комплексные обеды в офисе ст. м. Минская (ул. Улофа Пальме). ",2022-01-23,['Linux']
9,https://nn.hh.ru/vacancy/50408597?from=vacancy_search_list&query=lua&hhtmFrom=vacancy_search_list,С++ Game Developer (Программист C++),"{'from': False, 'to': False, 'gross': True, 'currancy': None}",Playrix,False,Минск,"Полная занятость, полный день",3–6 лет,False,False,"








Playrix — крупнейшая игровая компания в СНГ. Мы входим в топ-3 самых успешных мобильных издателей в мире по доходам по версии App Annie на сентябрь 2020. В наши проекты ежемесячно играют более 130 миллионов человек.













Возможность работать в комфортном офисе в Минске или удаленно на территории Республики Беларусь.


Работа предполагает трудоустройство на территории Республики Беларусь. Мы ищем увлеченного программиста для разработки мобильных игр с многомиллионной аудиторией. Игры Playrix разрабатываются на внутреннем многофункциональном движке. Это как стабильные проекты с богатой историей, так и абсолютно новые проекты, в рамках которых вам предстоит работать над уникальными задачами и принимать участие в создании топовых игровых продуктов. Мы используем современные стандарты и технологии, пишем игровую логику на С++17. Широко применяем автоматизацию тестирования и Continuous Integration — собираем 6000+ билдов в день, автоматически запускаем статический анализ кода через PVS/cppcheck и Runtime-тесты на девайсах. Каждому разработчику со старта предоставляем мощное оборудование с лицензированным ПО и возможностью выбрать OS (Win/Mac), IDE и другие удобные рабочие инструменты.   Задачи:   программирование игровых механик и логики;   программирование UI и визуальных эффектов;   профилирование и оптимизация игры по памяти и fps;   работа с SDK сторонних сервисов;   разработка инструментов (редакторов, утилит и средств автоматизации);   Требования:   опыт разработки на С++ от 3 лет;   знание современных стандартов С++ 11/14/17, STL;   знание ООП, базовых алгоритмов и структур данных;   знание технического английского языка будет плюсом;   приветствуется опыт игровой разработки, знание паттернов игрового проектирования;   будет плюсом опыт разработки для платформ iOS или Android;   опыт работы с компьютерной графикой приветствуется;   приветствуется опыт разработки на Python, Lua или других скриптовых языках.    


Что мы предлагаем?


Корпоративные бонусыКомпенсация английского, фитнеса, психолога и другие бонусы


Мероприятия и другие развлеченияМы регулярно проводим вечеринки, конференции и хакатоны


Бесплатное питание в офисеСовременные кухня и кафе с трехразовым питанием и снеками


Комфортное рабочее местоРаботайте там, где вам удобно, — мы предоставим всю нужную технику


Забота о здоровье сотрудниковДМС для сотрудников и их детей и 100% компенсация больничного













",2022-01-23,['C++']
